1,0.011351,0.011158
2,0.0071916,0.0119242
3,0.0072208,0.0228337
4,0.0075507,0.0286662
5,0.0091965,0.03561
6,0.00857,0.0454204
7,0.008586,0.0904712
8,0.0106344,0.0611842
9,0.0098595,0.0632302
10,0.0098112,0.0741708
20,0.0139013,0.1411395
30,0.0182323,0.2047652
40,0.0214728,0.2804544
50,0.0266578,0.3823952
60,0.0309431,0.4090355
70,0.0342433,0.4939349
80,0.0393115,0.5515919
90,0.0446095,0.6685118
100,0.049867,0.8800914
200,0.0911583,1.5879286
300,0.1307402,2.1834099
400,0.1774268,2.9277248
500,0.2387772,3.7235029
600,0.5397374,5.9245757
700,0.3466895,6.8997438
800,0.3397237,7.8967404
900,0.3792676,8.9361993
1000,0.4231678,9.2022283
2000,1.029783,15.2171005
3000,1.7521388,23.3051774
4000,2.4032888,32.8517195
5000,2.8378133,42.1538636
6000,4.0351435,49.5827424
7000,3.8791449,60.9766897
8000,4.9592569,74.1960444
9000,6.1275147,84.5508044
10000,7.3192575,78.9274025
20000,12.1995892,165.7940387
30000,16.8256503,287.1436234
40000,22.9146609,429.5611674
50000,28.8639003,612.2422975
60000,35.692044,836.0545165
