1000,0.4231678,9.2022283
2000,1.029783,15.2171005
3000,1.7521388,23.3051774
4000,2.4032888,32.8517195
5000,2.8378133,42.1538636
6000,4.0351435,49.5827424
7000,3.8791449,60.9766897
8000,4.9592569,74.1960444
9000,6.1275147,84.5508044
